Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
565.61,0.01,0.002127,470.15,44.511,49.213,155.42,56.365,64.69,410.31,6.3577,18.65,0.047428,vapor
570.61,0.01,0.0021083,474.31,44.794,49.537,156,56.732,65.056,411.95,6.0162,18.819,0.048168,vapor
575.61,0.01,0.00209,478.47,45.079,49.863,156.56,57.096,65.419,413.58,5.6911,18.988,0.048911,vapor
580.61,0.01,0.002072,482.63,45.365,50.191,157.13,57.458,65.781,415.21,5.3816,19.157,0.049658,vapor
585.61,0.01,0.0020543,486.79,45.653,50.521,157.7,57.819,66.141,416.83,5.0869,19.325,0.050408,vapor
590.61,0.01,0.0020369,490.95,45.943,50.853,158.26,58.177,66.498,418.45,4.8062,19.494,0.051161,vapor
595.61,0.01,0.0020198,495.11,46.235,51.186,158.82,58.533,66.854,420.05,4.5388,19.662,0.051917,vapor
600.61,0.01,0.0020029,499.27,46.529,51.521,159.38,58.887,67.208,421.66,4.284,19.83,0.052677,vapor
605.61,0.01,0.0019864,503.43,46.824,51.858,159.94,59.239,67.559,423.25,4.0413,19.998,0.053439,vapor
610.61,0.01,0.0019701,507.58,47.121,52.197,160.5,59.589,67.909,424.84,3.8099,20.166,0.054204,vapor
615.61,0.01,0.0019541,511.74,47.42,52.537,161.05,59.937,68.256,426.43,3.5895,20.333,0.054973,vapor
