C_X,C_N,C_L,F_in,C_N_in,I0,Time
0.2,0.2,0.0,0.001,10,150,0.0
0.2561076879501343,0.20684076845645905,0.00014471956819761544,0.001,10,150,0.7537688442211056
0.3113499879837036,0.21306826174259186,0.0002868724404834211,0.001,10,150,1.5075376884422111
0.36574065685272217,0.21869541704654694,0.00042649725219234824,0.001,10,150,2.261306532663317
0.41929328441619873,0.22373081743717194,0.0005636349669657648,0.001,10,150,3.0150753768844223
0.4720200300216675,0.22818543016910553,0.0006983221392147243,0.001,10,150,3.7688442211055277
0.5239335298538208,0.23206831514835358,0.0008305976516567171,0.001,10,150,4.522613065326634
0.575046181678772,0.23539139330387115,0.000960499222856015,0.001,10,150,5.276381909547739
0.6253706216812134,0.23816277086734772,0.001088062534108758,0.001,10,150,6.030150753768845
0.6749188899993896,0.24039436876773834,0.0012133249547332525,0.001,10,150,6.78391959798995
0.7237026691436768,0.24209381639957428,0.0013363217003643513,0.001,10,150,7.5376884422110555
0.7717336416244507,0.243271604180336,0.001457087928429246,0.001,10,150,8.291457286432161
0.819023609161377,0.24393583834171295,0.0015756585635244846,0.001,10,150,9.045226130653267
0.8655837774276733,0.2440965324640274,0.0016920666676014662,0.001,10,150,9.798994974874372
0.9114251136779785,0.2437608391046524,0.0018063464667648077,0.001,10,150,10.552763819095478
0.9565589427947998,0.24294067919254303,0.0019185307901352644,0.001,10,150,11.306532663316583
1.0009961128234863,0.24164225161075592,0.002028652234002948,0.001,10,150,12.06030150753769
1.0447471141815186,0.23987461626529694,0.0021367426961660385,0.001,10,150,12.814070351758795
1.087822437286377,0.23764826357364655,0.0022428338415920734,0.001,10,150,13.5678391959799
1.1302326917648315,0.2349693924188614,0.002346956403926015,0.001,10,150,14.321608040201006
1.1719880104064941,0.23184515535831451,0.002449141349643469,0.001,10,150,15.075376884422111
1.2130982875823975,0.2282860428094864,0.0025494187138974667,0.001,10,150,15.829145728643217
1.2535736560821533,0.22429873049259186,0.0026478180661797523,0.001,10,150,16.582914572864322
1.2934235334396362,0.21989132463932037,0.0027443687431514263,0.001,10,150,17.33668341708543
1.3326576948165894,0.21507097780704498,0.002839099382981658,0.001,10,150,18.090452261306535
1.3712855577468872,0.20984388887882233,0.002932037925347686,0.001,10,150,18.84422110552764
1.4093161821365356,0.20422054827213287,0.0030232123099267483,0.001,10,150,19.597989949748744
1.4467591047286987,0.19820572435855865,0.00311265024356544,0.001,10,150,20.35175879396985
1.4836231470108032,0.19180895388126373,0.0032003787346184254,0.001,10,150,21.105527638190956
1.5199172496795654,0.18503500521183014,0.0032864247914403677,0.001,10,150,21.859296482412063
1.5556498765945435,0.17789246141910553,0.0033708137925714254,0.001,10,150,22.613065326633166
1.5908299684524536,0.17038799822330475,0.003453571582213044,0.001,10,150,23.366834170854272
1.6264618635177612,0.18034674227237701,0.0035338737070560455,0.001,10,150,24.12060301507538
1.6626524925231934,0.21004606783390045,0.003611610271036625,0.001,10,150,24.874371859296485
1.6990461349487305,0.2535403072834015,0.003687061835080385,0.001,10,150,25.62814070351759
1.7353891134262085,0.3065369427204132,0.0037604395765811205,0.001,10,150,26.381909547738694
1.7715017795562744,0.3659394085407257,0.003831904847174883,0.001,10,150,27.1356783919598
1.8072575330734253,0.42951610684394836,0.0039015819784253836,0.001,10,150,27.889447236180906
1.8425688743591309,0.49566009640693665,0.0039695692248642445,0.001,10,150,28.643216080402013
1.8773757219314575,0.5632174015045166,0.00403594458475709,0.001,10,150,29.396984924623116
1.9116381406784058,0.631361722946167,0.004100772552192211,0.001,10,150,30.150753768844222
1.9453307390213013,0.69950270652771,0.004164108075201511,0.001,10,150,30.90452261306533
1.9784384965896606,0.7672240734100342,0.0042259967885911465,0.001,10,150,31.658291457286435
2.010953903198242,0.8342297077178955,0.0042864796705543995,0.001,10,150,32.41206030150754
2.0430104732513428,0.8944118022918701,0.0043486072681844234,0.001,10,150,33.165829145728644
2.0732665061950684,0.9347612857818604,0.0044102598913013935,0.001,10,150,33.91959798994975
2.102081298828125,0.9609158039093018,0.004471220076084137,0.001,10,150,34.67336683417086
2.129715919494629,0.9769241809844971,0.004531338345259428,0.001,10,150,35.42713567839196
2.1563613414764404,0.98569655418396,0.004590513650327921,0.001,10,150,36.18090452261307
2.1805436611175537,0.9898107051849365,0.0046458616852760315,0.001,10,150,36.934673366834176
2.204108953475952,0.9909732341766357,0.004700371064245701,0.001,10,150,37.68844221105528
2.2272467613220215,0.9923512935638428,0.004753912333399057,0.001,10,150,38.44221105527638
2.249964952468872,0.9939396381378174,0.0048065027222037315,0.001,10,150,39.19597989949749
2.272310495376587,0.9988982677459717,0.004858146887272596,0.001,10,150,39.949748743718594
2.2942380905151367,1.0041453838348389,0.004908756818622351,0.001,10,150,40.7035175879397
2.3159103393554688,1.0094811916351318,0.004958454053848982,0.001,10,150,41.45728643216081
2.3370840549468994,1.0147602558135986,0.005006830208003521,0.001,10,150,42.21105527638191
2.3577709197998047,1.0199849605560303,0.00505391601473093,0.001,10,150,42.96482412060302
2.3779821395874023,1.0251572132110596,0.005099742207676172,0.001,10,150,43.718592964824126
2.39772891998291,1.0302770137786865,0.0051443385891616344,0.001,10,150,44.47236180904523
2.4170217514038086,1.0353477001190186,0.00518773403018713,0.001,10,150,45.22613065326633
2.435871124267578,1.0403692722320557,0.005229957401752472,0.001,10,150,45.97989949748744
2.454287528991699,1.0453436374664307,0.005271036643534899,0.001,10,150,46.733668341708544
2.472280740737915,1.0502722263336182,0.005310998298227787,0.001,10,150,47.48743718592965
