Index_within_Experiment,Time,C_X,C_N,C_L,C_x0,C_N0,F_in,C_N_in,I0
65,48.99497487,2.486856968,3.171309422,0.003150334,1.5,1.6,0.006,7,103
66,49.74874372,2.494555448,3.197208397,0.003178745,1.5,1.6,0.006,7,103
67,50.50251256,2.502107757,3.223141139,0.003206752,1.5,1.6,0.006,7,103
68,51.25628141,2.50951782,3.24910668,0.003234366,1.5,1.6,0.006,7,103
69,52.01005025,2.516789588,3.275104036,0.003261593,1.5,1.6,0.006,7,103
70,52.7638191,2.52392704,3.301132219,0.003288444,1.5,1.6,0.006,7,103
71,53.51758794,2.530934181,3.327190225,0.003314928,1.5,1.6,0.006,7,103
72,54.27135678,2.537815045,3.353277043,0.003341053,1.5,1.6,0.006,7,103
73,55.02512563,2.544573695,3.379391651,0.003366829,1.5,1.6,0.006,7,103
74,55.77889447,2.55121422,3.405533016,0.003392264,1.5,1.6,0.006,7,103
75,56.53266332,2.557740735,3.431700095,0.003417368,1.5,1.6,0.006,7,103
76,57.28643216,2.564157387,3.457891835,0.00344215,1.5,1.6,0.006,7,103
77,58.04020101,2.570468346,3.484107172,0.003466619,1.5,1.6,0.006,7,103
78,58.79396985,2.576677812,3.510345033,0.003490785,1.5,1.6,0.006,7,103
79,59.54773869,2.582790013,3.536604332,0.003514655,1.5,1.6,0.006,7,103
80,60.30150754,2.588809203,3.562883976,0.00353824,1.5,1.6,0.006,7,103
81,61.05527638,2.594739666,3.58918286,0.003561548,1.5,1.6,0.006,7,103
82,61.80904523,2.60058571,3.615499867,0.00358459,1.5,1.6,0.006,7,103
83,62.56281407,2.606351674,3.641833873,0.003607373,1.5,1.6,0.006,7,103
84,63.31658291,2.612041924,3.668183742,0.003629907,1.5,1.6,0.006,7,103
85,64.07035176,2.617660851,3.694548326,0.003652203,1.5,1.6,0.006,7,103
86,64.8241206,2.623212877,3.72092647,0.003674267,1.5,1.6,0.006,7,103
87,65.57788945,2.62870245,3.747317006,0.003696111,1.5,1.6,0.006,7,103
88,66.33165829,2.634133674,3.773718861,0.003717743,1.5,1.6,0.006,7,103
89,67.08542714,2.639488726,3.800137113,0.003739132,1.5,1.6,0.006,7,103
90,67.83919598,2.644756591,3.826574921,0.003760259,1.5,1.6,0.006,7,103
91,68.59296482,2.649938438,3.85303202,0.003781127,1.5,1.6,0.006,7,103
92,69.34673367,2.65503543,3.879508148,0.00380174,1.5,1.6,0.006,7,103
93,70.10050251,2.660048724,3.906003044,0.0038221,1.5,1.6,0.006,7,103
94,70.85427136,2.664979472,3.932516448,0.003842211,1.5,1.6,0.006,7,103
95,71.6080402,2.669828819,3.959048101,0.003862076,1.5,1.6,0.006,7,103
96,72.36180905,2.674597905,3.985597744,0.003881698,1.5,1.6,0.006,7,103
97,73.11557789,2.679287866,4.012165122,0.003901079,1.5,1.6,0.006,7,103
98,73.86934673,2.683899829,4.038749979,0.003920223,1.5,1.6,0.006,7,103
99,74.62311558,2.68843492,4.06535206,0.003939133,1.5,1.6,0.006,7,103
100,75.37688442,2.692894254,4.091971112,0.003957811,1.5,1.6,0.006,7,103
101,76.13065327,2.697278944,4.118606884,0.003976262,1.5,1.6,0.006,7,103
102,76.88442211,2.701590097,4.145259123,0.003994486,1.5,1.6,0.006,7,103
103,77.63819095,2.705828814,4.171927581,0.004012489,1.5,1.6,0.006,7,103
104,78.3919598,2.709996189,4.198612009,0.004030271,1.5,1.6,0.006,7,103
105,79.14572864,2.714093313,4.225312159,0.004047837,1.5,1.6,0.006,7,103
106,79.89949749,2.718121268,4.252027785,0.00406519,1.5,1.6,0.006,7,103
107,80.65326633,2.722081134,4.278758642,0.004082331,1.5,1.6,0.006,7,103
108,81.40703518,2.725973984,4.305504486,0.004099265,1.5,1.6,0.006,7,103
109,82.16080402,2.729800883,4.332265074,0.004115993,1.5,1.6,0.006,7,103
110,82.91457286,2.733562894,4.359040164,0.004132519,1.5,1.6,0.006,7,103
111,83.66834171,2.737261073,4.385829515,0.004148845,1.5,1.6,0.006,7,103
112,84.42211055,2.740896469,4.412632889,0.004164974,1.5,1.6,0.006,7,103
113,85.1758794,2.744470127,4.439450047,0.00418091,1.5,1.6,0.006,7,103
114,85.92964824,2.747983086,4.466280752,0.004196654,1.5,1.6,0.006,7,103
115,86.68341709,2.75143638,4.493124768,0.00421221,1.5,1.6,0.006,7,103
116,87.43718593,2.754831036,4.51998186,0.00422758,1.5,1.6,0.006,7,103
117,88.19095477,2.758168075,4.546851795,0.004242767,1.5,1.6,0.006,7,103
118,88.94472362,2.761448515,4.573734339,0.004257774,1.5,1.6,0.006,7,103
119,89.69849246,2.764673366,4.600629262,0.004272603,1.5,1.6,0.006,7,103
120,90.45226131,2.767843634,4.627536334,0.004287257,1.5,1.6,0.006,7,103
121,91.20603015,2.770960317,4.654455325,0.004301739,1.5,1.6,0.006,7,103
122,91.95979899,2.77402441,4.681386007,0.004316051,1.5,1.6,0.006,7,103
123,92.71356784,2.777036901,4.708328154,0.004330196,1.5,1.6,0.006,7,103
124,93.46733668,2.779998773,4.73528154,0.004344177,1.5,1.6,0.006,7,103
125,94.22110553,2.782911002,4.762245941,0.004357996,1.5,1.6,0.006,7,103
126,94.97487437,2.78577456,4.789221133,0.004371656,1.5,1.6,0.006,7,103
127,95.72864322,2.788590413,4.816206895,0.004385159,1.5,1.6,0.006,7,103
128,96.48241206,2.791359521,4.843203004,0.004398508,1.5,1.6,0.006,7,103
129,97.2361809,2.794082838,4.870209242,0.004411706,1.5,1.6,0.006,7,103
130,97.98994975,2.796761314,4.89722539,0.004424754,1.5,1.6,0.006,7,103
131,98.74371859,2.79939589,4.924251229,0.004437657,1.5,1.6,0.006,7,103
132,99.49748744,2.801987506,4.951286545,0.004450415,1.5,1.6,0.006,7,103
133,100.2512563,2.804537093,4.978331121,0.004463031,1.5,1.6,0.006,7,103
134,101.0050251,2.807045577,5.005384743,0.004475509,1.5,1.6,0.006,7,103
135,101.758794,2.80951388,5.032447198,0.00448785,1.5,1.6,0.006,7,103
136,102.5125628,2.811942915,5.059518276,0.004500057,1.5,1.6,0.006,7,103
137,103.2663317,2.814333594,5.086597764,0.004512133,1.5,1.6,0.006,7,103
138,104.0201005,2.816686818,5.113685453,0.004524079,1.5,1.6,0.006,7,103
139,104.7738693,2.819003488,5.140781136,0.004535898,1.5,1.6,0.006,7,103
140,105.5276382,2.821284494,5.167884605,0.004547592,1.5,1.6,0.006,7,103
141,106.281407,2.823530725,5.194995654,0.004559165,1.5,1.6,0.006,7,103
142,107.0351759,2.825743062,5.222114077,0.004570618,1.5,1.6,0.006,7,103
143,107.7889447,2.82792238,5.249239673,0.004581953,1.5,1.6,0.006,7,103
