Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
365.69,0.15186,0.05,20,14.07,17.107,111.29,30.453,38.839,491.09,2.7834,13.178,0.044095,vapor
370.69,0.15394,0.05,20,14.223,17.301,111.71,30.713,39.097,494.01,2.6949,13.327,0.044905,vapor
375.69,0.15603,0.05,20,14.377,17.497,112.12,30.977,39.36,496.89,2.6096,13.475,0.045723,vapor
380.69,0.15811,0.05,20,14.532,17.695,112.53,31.244,39.626,499.75,2.5274,13.622,0.046549,vapor
385.69,0.1602,0.05,20,14.689,17.893,112.94,31.515,39.895,502.58,2.4482,13.769,0.047383,vapor
390.69,0.16228,0.05,20,14.848,18.093,113.35,31.788,40.168,505.39,2.3717,13.914,0.048225,vapor
395.69,0.16437,0.05,20,15.007,18.294,113.75,32.064,40.443,508.18,2.298,14.059,0.049074,vapor
400.69,0.16645,0.05,20,15.168,18.497,114.16,32.343,40.721,510.94,2.2269,14.203,0.049931,vapor
405.69,0.16854,0.05,20,15.331,18.701,114.56,32.625,41.001,513.68,2.1582,14.346,0.050795,vapor
410.69,0.17062,0.05,20,15.494,18.907,114.96,32.908,41.284,516.39,2.092,14.488,0.051666,vapor
415.69,0.17271,0.05,20,15.66,19.114,115.36,33.194,41.568,519.09,2.028,14.63,0.052544,vapor
420.69,0.17479,0.05,20,15.826,19.322,115.76,33.482,41.855,521.77,1.9663,14.771,0.05343,vapor
425.69,0.17688,0.05,20,15.995,19.532,116.16,33.771,42.144,524.42,1.9067,14.911,0.054322,vapor
430.69,0.17896,0.05,20,16.164,19.743,116.55,34.063,42.434,527.06,1.8491,15.051,0.055221,vapor
435.69,0.18104,0.05,20,16.335,19.956,116.95,34.355,42.726,529.68,1.7934,15.189,0.056126,vapor
440.69,0.18313,0.05,20,16.508,20.17,117.34,34.649,43.019,532.28,1.7396,15.327,0.057039,vapor
445.69,0.18521,0.05,20,16.682,20.386,117.74,34.944,43.313,534.87,1.6877,15.465,0.057957,vapor
450.69,0.1873,0.05,20,16.857,20.603,118.13,35.241,43.609,537.44,1.6374,15.601,0.058882,vapor
455.69,0.18938,0.05,20,17.034,20.822,118.52,35.538,43.905,539.99,1.5888,15.737,0.059812,vapor
460.69,0.19147,0.05,20,17.212,21.042,118.91,35.836,44.203,542.53,1.5419,15.873,0.060749,vapor
465.69,0.19355,0.05,20,17.392,21.263,119.3,36.135,44.501,545.05,1.4964,16.007,0.061691,vapor
470.69,0.19564,0.05,20,17.574,21.487,119.68,36.435,44.8,547.56,1.4525,16.141,0.062639,vapor
475.69,0.19772,0.05,20,17.757,21.711,120.07,36.735,45.099,550.05,1.4099,16.275,0.063593,vapor
480.69,0.19981,0.05,20,17.941,21.937,120.46,37.036,45.399,552.53,1.3687,16.407,0.064552,vapor
485.69,0.20189,0.05,20,18.127,22.165,120.84,37.337,45.7,555,1.3289,16.54,0.065517,vapor
490.69,0.20397,0.05,20,18.315,22.394,121.22,37.638,46.001,557.45,1.2902,16.671,0.066487,vapor
495.69,0.20606,0.05,20,18.503,22.625,121.61,37.94,46.301,559.89,1.2529,16.802,0.067461,vapor
500.69,0.20814,0.05,20,18.694,22.857,121.99,38.242,46.603,562.32,1.2166,16.932,0.068441,vapor
505.69,0.21023,0.05,20,18.886,23.09,122.37,38.543,46.904,564.74,1.1815,17.062,0.069426,vapor
510.69,0.21231,0.05,20,19.079,23.326,122.75,38.845,47.205,567.14,1.1475,17.191,0.070416,vapor
515.69,0.2144,0.05,20,19.274,23.562,123.13,39.147,47.506,569.53,1.1146,17.32,0.07141,vapor
520.69,0.21648,0.05,20,19.471,23.8,123.51,39.449,47.807,571.91,1.0826,17.448,0.072409,vapor
525.69,0.21856,0.05,20,19.669,24.04,123.89,39.75,48.108,574.28,1.0516,17.575,0.073412,vapor
530.69,0.22065,0.05,20,19.868,24.281,124.27,40.051,48.409,576.64,1.0215,17.702,0.07442,vapor
535.69,0.22273,0.05,20,20.069,24.524,124.64,40.352,48.71,578.99,0.99238,17.828,0.075432,vapor
540.69,0.22482,0.05,20,20.272,24.768,125.02,40.653,49.01,581.33,0.96408,17.954,0.076448,vapor
545.69,0.2269,0.05,20,20.476,25.014,125.4,40.954,49.31,583.65,0.93661,18.079,0.077468,vapor
550.69,0.22899,0.05,20,20.681,25.261,125.77,41.253,49.609,585.97,0.90995,18.204,0.078492,vapor
555.69,0.23107,0.05,20,20.888,25.51,126.15,41.553,49.908,588.28,0.88407,18.328,0.07952,vapor
560.69,0.23315,0.05,20,21.097,25.76,126.52,41.852,50.207,590.57,0.85893,18.452,0.080552,vapor
565.69,0.23524,0.05,20,21.307,26.012,126.89,42.151,50.505,592.86,0.83452,18.575,0.081588,vapor
570.69,0.23732,0.05,20,21.518,26.265,127.26,42.449,50.802,595.14,0.8108,18.698,0.082628,vapor
575.69,0.23941,0.05,20,21.731,26.52,127.64,42.746,51.099,597.41,0.78775,18.82,0.083671,vapor
580.69,0.24149,0.05,20,21.946,26.776,128.01,43.043,51.396,599.67,0.76536,18.942,0.084717,vapor
585.69,0.24357,0.05,20,22.162,27.033,128.38,43.339,51.691,601.92,0.74358,19.063,0.085767,vapor
590.69,0.24566,0.05,20,22.379,27.292,128.75,43.634,51.986,604.16,0.72242,19.184,0.08682,vapor
595.69,0.24774,0.05,20,22.598,27.553,129.12,43.929,52.281,606.4,0.70184,19.304,0.087877,vapor
600.69,0.24983,0.05,20,22.819,27.815,129.48,44.223,52.575,608.62,0.68182,19.424,0.088937,vapor
605.69,0.25191,0.05,20,23.04,28.079,129.85,44.517,52.868,610.84,0.66235,19.543,0.09,vapor
610.69,0.254,0.05,20,23.264,28.344,130.22,44.809,53.16,613.05,0.6434,19.662,0.091066,vapor
615.69,0.25608,0.05,20,23.489,28.61,130.59,45.101,53.451,615.25,0.62497,19.78,0.092135,vapor
620.69,0.25816,0.05,20,23.715,28.878,130.95,45.392,53.742,617.44,0.60702,19.898,0.093206,vapor
603.15,0.25101,0.05,20,12.639,17.659,204.67,21.818,30.15,497.91,0.0095464,29.691,0.045042,vapor
608.15,0.25309,0.05,20,12.748,17.81,204.85,21.848,30.181,499.87,-0.0050488,29.859,0.045322,vapor
613.15,0.25518,0.05,20,12.857,17.961,205.03,21.879,30.211,501.83,-0.01934,30.026,0.045601,vapor
618.15,0.25726,0.05,20,12.967,18.112,205.21,21.91,30.242,503.78,-0.033336,30.193,0.045879,vapor
623.15,0.25934,0.05,20,13.076,18.263,205.39,21.941,30.273,505.71,-0.047043,30.359,0.046157,vapor
628.15,0.26143,0.05,20,13.186,18.414,205.56,21.973,30.304,507.64,-0.060469,30.525,0.046434,vapor
633.15,0.26351,0.05,20,13.296,18.566,205.74,22.004,30.336,509.56,-0.073621,30.69,0.04671,vapor
638.15,0.26559,0.05,20,13.406,18.718,205.91,22.036,30.367,511.47,-0.086507,30.854,0.046985,vapor
643.15,0.26768,0.05,20,13.516,18.87,206.08,22.068,30.399,513.37,-0.099132,31.018,0.04726,vapor
648.15,0.26976,0.05,20,13.627,19.022,206.25,22.101,30.431,515.26,-0.1115,31.181,0.047534,vapor
