t,x,tau
0.0,1.0060943415950887,-0.020799682124809912
0.02002002002002002,0.9953871367037745,0.0388313143478443
0.04004004004004004,0.9225211690913646,0.013996449902793699
0.06006006006006006,0.9460322780317123,0.05373520821318846
0.08008008008008008,0.9258272229384069,0.06301920152860847
0.10010010010010009,0.9271776558634787,0.11565593880867907
0.12012012012012012,0.8950600798715888,0.1426649442594808
0.14014014014014015,0.8879475304676968,0.12295429088247538
0.16016016016016016,0.8715232781443965,0.14098250814358018
0.18018018018018017,0.86794630468859,0.17918166196045515
0.20020020020020018,0.8335724178574259,0.18658160931212137
0.22022022022022023,0.8492615377262414,0.21712963057884418
0.24024024024024024,0.8044193658039344,0.2331975692304757
0.2602602602602603,0.812427099829016,0.2675691415475419
0.2802802802802803,0.7994360913315313,0.28889670034043796
0.3003003003003003,0.82400632077669,0.292171999972608
0.3203203203203203,0.7614978547697685,0.3040448657553628
0.34034034034034033,0.7751951773909688,0.3629197861947582
0.36036036036036034,0.752279311779969,0.3435572308211098
0.38038038038038036,0.7302874778453823,0.39339223613687446
0.40040040040040037,0.7543836922730088,0.4112634857665043
0.42042042042042044,0.7194592032269614,0.42506364688175485
0.44044044044044045,0.7288499209698381,0.4448142123750208
0.46046046046046046,0.7381744599660894,0.4649323714359542
0.4804804804804805,0.7290236766774509,0.4818320618702583
0.5005005005005005,0.716384242713394,0.5131262650172713
0.5205205205205206,0.6770593174097522,0.5141270961933745
0.5405405405405406,0.6928270037234998,0.5277629835756737
0.5605605605605606,0.6931825073296446,0.5904593867852485
0.5805805805805806,0.6782260405208855,0.5999461476724102
0.6006006006006006,0.6591366460628493,0.5939029000008851
0.6206206206206206,0.6936823142365185,0.6323450672478061
0.6406406406406406,0.7026547064140493,0.6565075853446392
0.6606606606606606,0.6798162935791194,0.6514136248073693
0.6806806806806807,0.7026567285343427,0.6768545941830484
0.7007007007007007,0.6590239046869767,0.678034956420631
0.7207207207207207,0.6655113295482243,0.730663935601796
0.7407407407407407,0.6864223863380039,0.7545504478220961
0.7607607607607607,0.6750016050502226,0.763931554582295
0.7807807807807807,0.6963191913287857,0.7745938499863759
0.8008008008008007,0.6934803113232559,0.7875622819794678
0.8208208208208209,0.6778867178075788,0.8131860629408543
0.8408408408408409,0.6622885327734472,0.8505802904565525
0.8608608608608609,0.678118441397002,0.8611107432354146
0.8808808808808809,0.698655413805954,0.8898115044014799
0.9009009009009009,0.7041043131513787,0.8989311912107124
0.9209209209209209,0.68429833260763,0.919326556702793
0.9409409409409409,0.6611863865430129,0.9119986914924791
0.960960960960961,0.6708385894435084,0.9410160244089314
