t,x,v
0.0,1.0060943415950887,-0.020799682124809912
0.02002002002002002,1.0148086293427756,-0.0012074485576885723
0.04004004004004004,0.9601777936214727,-0.06607389582414566
0.06006006006006006,1.0007536865937556,-0.06635368373992194
0.08008008008008008,0.9964590333676362,-0.09707078368105561
0.10010010010010009,1.0125813748049834,-0.08441470106926194
0.12012012012012012,0.9941129942288592,-0.09736433902450992
0.14014014014014015,0.9995425822314112,-0.15701144888034535
0.16016016016016016,0.9945689131709007,-0.178898705173967
0.18018018018018017,1.00136628835842,-0.1805965984818207
0.20020020020020018,0.9763056329922921,-0.21307915677602907
0.22022022022022023,1.0002617617563148,-0.22240429480862822
0.24024024024024024,0.9626550147700454,-0.2462066454383524
0.2602602602602603,0.9768809516360014,-0.2517102218548506
0.2802802802802803,0.9691049947011956,-0.270271639830055
0.3003003003003003,0.997900871694202,-0.3069093266837971
0.3203203203203203,0.938642048817459,-0.3349848273652026
0.34034034034034033,0.9546260511069823,-0.31610620139184686
0.36036036036036034,0.9330465558173854,-0.3755266879626585
0.38038038038038036,0.9114530243844933,-0.36582610502595514
0.40040040040040037,0.9350212843778005,-0.3881817601791862
0.42042042042042044,0.8986539495244186,-0.414718111200389
0.44044044044044045,0.9056978200652109,-0.43543191510136897
0.46046046046046046,0.9117819016714568,-0.45592536205484135
0.4804804804804805,0.8985069298132893,-0.4798050254734772
0.5005005005005005,0.880868918796035,-0.48947957201936826
0.5205205205205206,0.835679809879191,-0.5296596791245681
0.5405405405405406,0.84472590132953,-0.5574408776241571
0.5605605605605606,0.8375099950143061,-0.5364228403299031
0.5805805805805806,0.814139270599505,-0.5689020486742072
0.6006006006006006,0.7857990843836464,-0.6172264093923375
0.6206206206206206,0.8102630651811402,-0.6214092784290521
0.6406406406406406,0.808327815175815,-0.6402457540325839
0.6606606606606606,0.77376002031345,-0.6887439807076954
0.6806806806806807,0.7840527949015385,-0.7071451758363926
0.7007007007007007,0.7270567210057105,-0.7502788252324466
0.7207207207207207,0.7193671910240749,-0.7424709946128257
0.7407407407407407,0.7252886392403912,-0.7639494195957987
0.7607607607607607,0.6980657939424914,-0.8005150566318932
0.7807807807807807,0.702768173825487,-0.8364206917016942
0.8008008008008007,0.6824993423282976,-0.8706821108022923
0.8208208208208209,0.6486585148437165,-0.8929921705736434
0.8408408408408409,0.6139923114707756,-0.9042791270772461
0.8608608608608609,0.6099289205045503,-0.9432217777731703
0.8808808808808809,0.6097418043273297,-0.9648317665435278
0.9009009009009009,0.5936292829474529,-1.0069072125958853
0.9209209209209209,0.5514169478243504,-1.0386389695445397
0.9409409409409409,0.5050450425987844,-1.0990742332768164
0.960960960960961,0.490573928119947,-1.1241932548220221
0.980980980980981,0.502565876383689,-1.1575520037071776
1.001001001001001,0.46383383274642653,-1.1497782502137819
1.021021021021021,0.4403596871581215,-1.1985069669243293
1.0410410410410411,0.40413771420438577,-1.2560810481601195
1.0610610610610611,0.3783470623477583,-1.2987330018539471
1.0810810810810811,0.38787768543922163,-1.3677855510333994
1.1011011011011012,0.35264405318379144,-1.3711159229581311
1.1211211211211212,0.3040894119896747,-1.4488011148459856
1.1411411411411412,0.28853674397101503,-1.475883886130824
1.1611611611611612,0.2619459985551936,-1.5116951062313617
1.1811811811811812,0.2585743283536458,-1.5651912722473085
1.2012012012012012,0.1743343183782364,-1.6065229960588778
1.2212212212212212,0.1664604140160565,-1.6340462340675201
1.2412412412412412,0.14498152739272357,-1.7065996897057671
1.2612612612612613,0.12269952024579774,-1.7913546605232593
1.2812812812812813,0.04470189197313084,-1.8412155861391748
1.3013013013013013,0.01264914918892928,-1.90648647877434
1.3213213213213213,-0.005040325144910788,-1.9407021361757855
1.3413413413413413,-0.08650446420598387,-2.0147493988172234
1.3613613613613613,-0.091334963567355,-2.036532218756386
1.3813813813813813,-0.09937064953224464,-2.0543112976737397
1.4014014014014013,-0.17390620230984363,-2.1918244906254447
1.4214214214214214,-0.2689132987055302,-2.22594116757901
1.4414414414414414,-0.2877905702614433,-2.2982930737509197
1.4614614614614614,-0.3301986820079001,-2.3504781756267596
1.4814814814814814,-0.3442025491988765,-2.4006838412827975
1.5015015015015014,-0.41736487666201544,-2.478629445608421
1.5215215215215214,-0.49741298717555843,-2.5190508376777623
1.5415415415415414,-0.5157189660451504,-2.522027233643465
1.5615615615615615,-0.5636846085183329,-2.581735957952445
1.5815815815815815,-0.6287569809416181,-2.664293323318945
1.6016016016016015,-0.6912847764133903,-2.688733162227606
1.6216216216216217,-0.683235549012382,-2.7179451023625525
1.6416416416416417,-0.7633340643020554,-2.73975440986643
1.6616616616616617,-0.8160979492251783,-2.726333347926567
1.6816816816816818,-0.892650516979077,-2.738667235465702
1.7017017017017018,-0.957388050908355,-2.72364052401954
1.7217217217217218,-1.0079652605996996,-2.742189211208971
1.7417417417417418,-1.0786005255365123,-2.689392066215739
1.7617617617617618,-1.07503757557045,-2.654661799508687
1.7817817817817818,-1.1617674555025064,-2.6069834850176803
1.8018018018018018,-1.1850450121566145,-2.5531220190635056
1.8218218218218218,-1.2699513009130685,-2.4705010788274593
1.8418418418418419,-1.3023335369640623,-2.387854856240081
1.8618618618618619,-1.354851051000667,-2.360517849804455
1.8818818818818819,-1.4317554914861705,-2.212825634951677
1.901901901901902,-1.413921559924266,-2.152576765599143
1.921921921921922,-1.4980641232816956,-2.0172926974482377
1.941941941941942,-1.5524487164298262,-1.9574750436530919
1.961961961961962,-1.5551725935872844,-1.8372154277432646
1.981981981981982,-1.6036420127558788,-1.7201750256061636
2.002002002002002,-1.6300257087726493,-1.5753001596526826
2.022022022022022,-1.6659302165612528,-1.4771335977979287
2.042042042042042,-1.7374474411402883,-1.3785415264087832
2.062062062062062,-1.739776827961756,-1.291362058586519
2.0820820820820822,-1.7647547383004911,-1.1657097386928872
2.1021021021021022,-1.7510234753647427,-1.080860116790005
2.1221221221221223,-1.7888198529349197,-0.9631058122796714
2.1421421421421423,-1.8140980538365967,-0.8366485976340292
2.1621621621621623,-1.8130025998885702,-0.7377253136275029
2.1821821821821823,-1.8412755318862573,-0.6908469442556388
2.2022022022022023,-1.8553783164375124,-0.589326110394912
2.2222222222222223,-1.8584769858995565,-0.5379349685505685
2.2422422422422423,-1.8697938621836792,-0.4385409730681902
2.2622622622622623,-1.829432286641328,-0.33712343064330397
2.2822822822822824,-1.903700388981842,-0.31652457161315234
2.3023023023023024,-1.9215234491325985,-0.26310070426082616
2.3223223223223224,-1.8904129718414753,-0.17187825149803207
2.3423423423423424,-1.9147105592250033,-0.15777457653863725
2.3623623623623624,-1.9454894385097714,-0.10040634136791646
2.3823823823823824,-1.9252907858859156,-0.06374025998202232
2.4024024024024024,-1.9222311362363689,-0.014343314305781767
2.4224224224224224,-1.9397164519385552,-0.004187433665432533
2.4424424424424425,-1.8611209236475432,0.03415547464715847
2.4624624624624625,-1.9241167082310773,0.12874476766422183
2.4824824824824825,-1.8419368848484663,0.09823391136239737
2.5025025025025025,-1.9046895067643506,0.15590515863632493
2.5225225225225225,-1.8595091350228818,0.15467882740611166
2.5425425425425425,-1.8952591053491021,0.21340968575820238
2.5625625625625625,-1.8774768971941198,0.21205255705330273
2.5825825825825826,-1.8842487605066156,0.2122059729062463
2.6026026026026026,-1.8813475849447883,0.25305875035329095
2.6226226226226226,-1.8665918843439275,0.2646455529362777
2.6426426426426426,-1.85612020920754,0.31217371556418905
2.6626626626626626,-1.8564454959039673,0.3140329172577227
2.6826826826826826,-1.8522022623454337,0.3210895627569905
2.7027027027027026,-1.8611348485990127,0.3406119465015711
2.7227227227227226,-1.841831845473705,0.38852848583971183
2.7427427427427427,-1.8013609976676672,0.36603167864220004
2.7627627627627627,-1.840804739125795,0.3470538805650052
2.7827827827827827,-1.7942223488144087,0.38494734265709996
2.8028028028028027,-1.8007414152314796,0.3546534030258271
2.8228228228228227,-1.7839022576392112,0.408003382434393
2.8428428428428427,-1.8165832137981044,0.39842136837005054
2.8628628628628627,-1.780848861364884,0.41745085650671304
2.8828828828828827,-1.7835475941428711,0.42253606792452303
2.9029029029029028,-1.774163566146973,0.435554446926343
2.9229229229229228,-1.7309586982292307,0.3887956662322418
2.942942942942943,-1.7562398446524408,0.45104534423709886
2.962962962962963,-1.736551533965019,0.44725342828201475
2.982982982982983,-1.7684326160444406,0.4682460066965905
3.003003003003003,-1.6894395268803237,0.43784625795925314
3.023023023023023,-1.6972628123948081,0.4686567274709691
3.043043043043043,-1.7061856479582507,0.4607609805181671
3.063063063063063,-1.7019370593880587,0.5143196004390688
3.083083083083083,-1.6737542443465023,0.529391411649077
3.103103103103103,-1.651890453875973,0.509897526186597
3.123123123123123,-1.6304642258754936,0.5162267283175748
3.143143143143143,-1.6385608967242944,0.5078223071987041
3.163163163163163,-1.643441345257038,0.5061023499573635
3.183183183183183,-1.6145060993778164,0.5027857732595311
3.203203203203203,-1.6080499927253913,0.5288567586679949
3.2232232232232234,-1.589544520993124,0.5540344193151011
3.2432432432432434,-1.5657015374919212,0.5600210110481902
3.2632632632632634,-1.6225718575155337,0.5505076087683818
3.2832832832832834,-1.60345821603403,0.5479860004597498
3.3033033033033035,-1.5385495658564512,0.5776817506443999
3.3233233233233235,-1.5713762498431518,0.551321303425874
3.3433433433433435,-1.545231142834119,0.5540244820470012
3.3633633633633635,-1.547662356564819,0.5914615843454532
3.3833833833833835,-1.4993474828143039,0.6043781485172981
3.4034034034034035,-1.5563526725123529,0.6053977071751298
3.4234234234234235,-1.497015733008238,0.6148316704821902
3.4434434434434436,-1.4539152717695416,0.5726787999679142
3.4634634634634636,-1.4856951039955675,0.6333078767824111
3.4834834834834836,-1.4929857652719782,0.6587218129680097
3.5035035035035036,-1.4413114119052772,0.6540250812994969
3.5235235235235236,-1.447262248779773,0.6614475526638046
3.5435435435435436,-1.4014750589559861,0.6581081110203415
3.5635635635635636,-1.4049897645947702,0.667346465878461
3.5835835835835836,-1.4136058224446915,0.6677005902043398
3.6036036036036037,-1.3858737683232232,0.6872652434102237
3.6236236236236237,-1.3491296766008256,0.6676200359297085
3.6436436436436437,-1.3577425523799578,0.7278734730759908
3.6636636636636637,-1.3560383675522785,0.691526728479022
3.6836836836836837,-1.322847110244004,0.7348746662929588
3.7037037037037037,-1.312187836052153,0.754883990090437
3.7237237237237237,-1.2805938806904213,0.7557769603907833
3.7437437437437437,-1.2717445880163873,0.7964634526110681
3.7637637637637638,-1.271804210593162,0.7211606744824954
3.7837837837837838,-1.220259647380458,0.7637664342854666
3.803803803803804,-1.2345930195357537,0.8111878550158697
3.823823823823824,-1.2529559074297136,0.77244690704507
3.843843843843844,-1.2368422127752716,0.7945072111958896
3.863863863863864,-1.179666944784423,0.8342323948931855
3.883883883883884,-1.166305097350869,0.809323304211996
3.903903903903904,-1.2011217605890345,0.8529908413767404
3.923923923923924,-1.1471523678569282,0.8759369455058426
3.943943943943944,-1.1061722969284202,0.8849063286930042
3.963963963963964,-1.0871893699857549,0.9026927479467278
3.983983983983984,-1.073645741695176,0.9005862706990561
4.004004004004004,-1.069356208257139,0.9358217057319983
4.024024024024024,-1.0305192495878275,0.9418857725703605
4.044044044044044,-1.0173074943942815,0.9630206864856884
4.064064064064064,-1.0105034622754723,1.004243506929683
4.084084084084084,-1.0280411910642673,0.981816435935432
4.104104104104104,-0.9974406864255125,0.9819837183666746
4.124124124124124,-0.9605521065389655,1.0654146976245993
4.1441441441441444,-0.9314295245460805,1.0770562261066032
4.1641641641641645,-0.8822291360588664,1.1232798236147619
4.1841841841841845,-0.8831949698807912,1.148423924588025
4.2042042042042045,-0.857264945583626,1.1302822846910288
4.2242242242242245,-0.8477657023318929,1.1442033719056268
4.2442442442442445,-0.8298628379039125,1.194599685118254
4.2642642642642645,-0.7716793300473296,1.2653419913893733
4.2842842842842845,-0.7904488898063342,1.2692312436784274
4.3043043043043046,-0.7580474434014112,1.3026612965934399
4.324324324324325,-0.7136391138066369,1.2897514734489464
4.344344344344345,-0.6655528813531729,1.348948158692638
4.364364364364365,-0.667188655199505,1.3758762436330376
4.384384384384385,-0.6412469194760854,1.4436659393318918
4.404404404404405,-0.6028225165371278,1.481201560393519
4.424424424424425,-0.5618669431713075,1.5423144647660398
4.444444444444445,-0.5451844541066351,1.529457973547921
4.464464464464465,-0.48532611083030686,1.5973463105388874
4.484484484484485,-0.45180060430342533,1.6585741883376006
4.504504504504505,-0.44317754575157864,1.7068198515424389
4.524524524524525,-0.3669966334464211,1.7923792727576966
4.544544544544545,-0.3690494725716492,1.8071377247591165
4.564564564564565,-0.31224828939848787,1.8422432344559587
4.584584584584585,-0.28932068582482917,1.9160043802556548
4.604604604604605,-0.2507430512199164,1.9593577086684346
4.624624624624625,-0.24863922508213643,1.9961799506751858
4.644644644644645,-0.1977679974210426,2.092136797865864
