t,theta,omega
0.0,1.2060943415950887,-0.020799682124809912
0.02002002002002002,1.2148222449954247,0.00015230511133831545
0.04004004004004004,1.1602322076472102,-0.06335885714022038
0.06006006006006006,1.2008759605769093,-0.062290965663041625
0.08008008008008008,1.1966760573302264,-0.09166967340311408
0.10010010010010009,1.212919845896644,-0.07768471510856605
0.12012012012012012,1.1945994303447705,-0.08931378352824426
0.14014014014014015,1.2002033601102846,-0.14764598135173354
0.16016016016016016,1.1954303325548925,-0.1682199100429775
0.18018018018018017,1.2024546704784342,-0.16860058775504358
0.20020020020020018,1.177647444994211,-0.19975518200610537
0.22022022022022023,1.2018837633957515,-0.20773337262933542
0.24024024024024024,1.1645844399332514,-0.23016020019142786
0.2602602602602603,1.1791457168378165,-0.2342487551452907
0.2802802802802803,1.171733924721229,-0.2513434093248871
0.3003003003003003,1.2009239587508338,-0.2864490400232583
0.3203203203203203,1.1420907422707602,-0.31291235522809546
0.34034034034034033,1.158533563733221,-0.2923252928878968
0.36036036036036034,1.1374481967948018,-0.3499237029360549
0.38038038038038036,1.1163865629478094,-0.33826875417750146
0.40040040040040037,1.1405273380904175,-0.35851784733929365
0.42042042042042044,1.1047763901908612,-0.3827742722555616
0.44044044044044045,1.1124842115867926,-0.40101236122326384
0.46046046046046046,1.1192839656655424,-0.418810618225176
0.4804804804804805,1.1067810297643823,-0.43975065946004865
0.5005005005005005,1.0899765687253617,-0.4462149143340669
0.5205205205205206,1.045688215593651,-0.482886530656101
0.5405405405405406,1.0557085309483925,-0.506832193838984
0.5605605605605606,1.0495471607001177,-0.4816214081134799
0.5805805805805806,1.0273187466429594,-0.5095191408019696
0.6006006006006006,1.0002167553391255,-0.5528404101757118
0.6206206206206206,1.026023600020241,-0.5515642877932596
0.6406406406406406,1.0255453638348506,-0.5644501753639135
0.6606606606606606,0.9925589416428112,-0.606469082726194
0.6806806806806807,1.004568419691407,-0.6178236235288094
0.7007007007007007,0.9494361346046227,-0.653303197136495
0.7207207207207207,0.9437700525049407,-0.6371922885370312
0.7407407407407407,0.9518880339439152,-0.6496755384465216
0.7607607607607607,0.9270491046214399,-0.6765092902243589
0.7807807807807807,0.934337988780008,-0.7019002075703963
0.8008008008008007,0.9168743986701638,-0.7248164512400567
0.8208208208208209,0.8860746649326455,-0.7349017828793999
0.8408408408408409,0.8547035193315727,-0.7330339480714788
0.8608608608608609,0.8542082880180215,-0.7578398804543701
0.8808808808808809,0.8578826191977342,-0.764278087915623
0.9009009009009009,0.8459460959664512,-0.7900924245350498
0.9209209209209209,0.8082466719170855,-0.8044185064025186
0.9409409409409409,0.7667480643438276,-0.8462475205300568
0.960960960960961,0.7575352338821181,-0.8515032242125258
0.980980980980981,0.7751961860076924,-0.8636848780919365
1.001001001001001,0.7425707334562827,-0.8333637684946525
1.021021021021021,0.7256687611900142,-0.8581190707728423
1.0410410410410411,0.69651364177422,-0.8902391362571084
1.0610610610610611,0.6783146938134589,-0.9059039132440312
