t,x1,v1,x2,v2
0.0,1.0060943415950887,-0.020799682124809912,0.5150090239161291,0.018811294327824277
0.025025025025025027,0.9605879215056818,-0.05731964810984902,0.5026350772840747,-7.055430930303849e-05
0.05005005005005005,0.9980988700014425,-0.07958165808585542,0.5179008893715082,0.02805268287359155
0.07507507507507508,0.9978005935711721,-0.07115803943257845,0.5100537278235502,0.001530054094881942
0.1001001001001001,1.0011208589221092,-0.14396872446278483,0.5188183741787737,0.023901246210267266
0.12512512512512514,0.9865379757372791,-0.16937286097359472,0.5264002112525096,0.027946168464081707
0.15015015015015015,0.9773850792605693,-0.19360412162321256,0.5134484552953449,0.04442414941465484
0.1751751751751752,0.9891540240369437,-0.20856535422286773,0.5466393733221654,0.034995445594403596
0.2002002002002002,0.9648386367938209,-0.26386005286973585,0.5172795258129127,0.0716301690051879
0.22522522522522523,0.966230869199818,-0.29454263880403664,0.48977101337231427,0.06789668066852472
0.2502502502502503,0.9760500180006562,-0.2967532717708811,0.49439586270992814,0.06525801005501687
0.2752752752752753,0.9554498891411956,-0.33281151132850323,0.5267220244312699,0.0707013612399426
0.3003003003003003,0.9578898804819681,-0.36506517615286904,0.5168021785033378,0.08434357433333237
0.3253253253253253,0.9056369379122624,-0.4016750269111141,0.5034743314161254,0.0642914338296702
0.3503503503503504,0.9190281986915793,-0.3938522061542206,0.4975592413808514,0.1016378482293724
0.3753753753753754,0.8799174336995659,-0.45849437527420367,0.5202532559436961,0.09904158390730895
0.4004004004004004,0.9161468972670826,-0.46352366366061576,0.5122701812632868,0.08294616351231379
0.42542542542542544,0.9067448198460527,-0.5103314734056509,0.49609724955511336,0.07422455648903831
0.45045045045045046,0.8581869218716115,-0.5231708562475434,0.5269409858310339,0.11520818851579456
0.47547547547547553,0.8543623053239975,-0.5560194628925955,0.5391961257724932,0.09952106825844287
0.5005005005005005,0.8577286297286966,-0.5979466185764218,0.5221203481893335,0.10217458155798469
0.5255255255255256,0.8097307638886897,-0.5999028996455019,0.5227904201017339,0.11394311211274835
0.5505505505505506,0.8277005018986907,-0.6250377428665788,0.5483775899031664,0.1153809365475881
0.5755755755755756,0.7934567160759359,-0.6592565229446097,0.5043032216254387,0.09183057883267355
0.6006006006006006,0.7587210210193481,-0.7006453343198107,0.5491080252457583,0.10584170424224823
0.6256256256256256,0.7602959998118147,-0.6770758834458259,0.5371262972397798,0.1416281208022347
0.6506506506506506,0.7313202890646195,-0.7288291460361199,0.528460172732671,0.1227638220057148
0.6756756756756758,0.7483991386728319,-0.7802054614832096,0.5594215261619421,0.13669840265306143
0.7007007007007008,0.7007955577519158,-0.7947771639552955,0.5555047002067446,0.12347827027090734
0.7257257257257258,0.6979217197259556,-0.784854575380324,0.5894763970100869,0.13112368296318588
0.7507507507507508,0.652911230452826,-0.8003615436542287,0.565261979792464,0.1646487938989539
0.7757757757757758,0.6697394882506853,-0.8146668891491119,0.5935845505131814,0.11494927601693837
0.8008008008008008,0.6194616046809356,-0.8573777316611212,0.5600065112190064,0.1121495714209476
0.8258258258258259,0.6237629247533732,-0.859500911031588,0.541890967009694,0.12002409700248062
0.8508508508508509,0.5957383602705021,-0.8536570797682275,0.6147585330204604,0.19895365899485085
0.8758758758758759,0.5757907369689056,-0.9047119018223966,0.5357043878363641,0.14605480066767873
0.9009009009009009,0.5289262153191279,-0.9068545568847429,0.5696213711378,0.1375877976360493
0.9259259259259259,0.543857217582877,-0.9081447513277953,0.5821971110108624,0.11906829349636427
0.9509509509509511,0.466088987557923,-0.9328504602728559,0.5877809754858746,0.17418863577493268
0.9759759759759761,0.47894828193308675,-0.914397536981041,0.5823295723488119,0.1138473379170707
1.001001001001001,0.4335386233831302,-0.9585644577513872,0.6383074172365049,0.11949914314280934
1.026026026026026,0.44587008071851214,-0.9711967790572514,0.6177472708307372,0.1416684204786609
1.0510510510510511,0.40201140271014546,-0.9620945614874548,0.5893446045047208,0.1405930015096187
1.0760760760760761,0.371896425257878,-0.9929883501875794,0.5801443726097628,0.13248327441079094
1.1011011011011012,0.38826162768551353,-0.97152324158212,0.6065227590715656,0.13176437298013946
