t,x,v
0.0,2.0289192546578856,0.0020461027928056355
0.01877346683354193,2.004776814905018,-0.1643348931356547
0.03754693366708386,2.0094731060967503,-0.36064628765352474
0.056320400500625784,1.9766995001947862,-0.57503658629065
0.07509386733416772,1.979707888163928,-0.7438127735820748
0.09386733416770965,1.973310885257313,-0.9039957278476893
0.11264080100125157,1.9232087813648173,-1.0725514190350427
0.1314142678347935,1.9305127665669815,-1.2384448830273487
0.15018773466833543,1.8758687440881598,-1.3946766572671414
0.16896120150187735,1.87094802173618,-1.5347114432227251
0.1877346683354193,1.847762375719595,-1.7135662784855108
0.20650813516896122,1.7902418185243203,-1.8200832294618843
0.22528160200250313,1.7306227083309023,-1.9457829417136803
0.24405506883604508,1.7098155372335715,-2.091045626519878
0.262828535669587,1.7152972405482516,-2.197229074219685
0.28160200250312895,1.6381661590417376,-2.295652930775045
0.30037546933667086,1.598195283641148,-2.4111864393846276
0.3191489361702128,1.5591874542672275,-2.4454585170510743
0.3379224030037547,1.5250909573824976,-2.5612538623660055
0.3566958698372967,1.462886925795677,-2.6283626394984427
0.3754693366708386,1.419939546801525,-2.728491481436589
0.3942428035043805,1.366123014959848,-2.7703606696033263
0.41301627033792243,1.3377589605780877,-2.828993803863799
0.43178973717146435,1.274995299689477,-2.8949020034756416
0.45056320400500627,1.2019108024808636,-2.9270302629749465
0.46933667083854824,1.1230810432639968,-2.9324644552172825
0.48811013767209016,1.0653279478435367,-2.981024032511394
0.5068836045056321,1.014795079116761,-2.995522090243925
0.525657071339174,0.9778016623715373,-3.067365601003034
0.5444305381727159,0.9293421952877909,-3.052694051536459
0.5632040050062579,0.8982677601789658,-3.035410231363377
0.5819774718397998,0.8198371074410068,-3.1092198359792316
0.6007509386733417,0.7782308938612076,-3.0667024945576786
0.6195244055068837,0.6595199103101366,-3.0643757333917208
0.6382978723404256,0.6538395299262998,-3.1022237825204795
0.6570713391739675,0.5916035433401672,-3.0752587611764155
0.6758448060075094,0.5020124334013213,-3.07304952721951
0.6946182728410514,0.4394190446413426,-3.0548354866415557
0.7133917396745934,0.4031233177693865,-3.0306663942250376
0.7321652065081352,0.3683999379669852,-3.0480523351123305
0.7509386733416772,0.30504042121713176,-3.0538260325062194
0.769712140175219,0.23961746073133583,-3.0406353592397455
0.788485607008761,0.15959628463658979,-2.99431635712983
