Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
235.49,0.064037,0.033333,30,24.651,26.572,115.96,27.855,37.416,385.48,74.688,7.9516,0.019027,vapor
240.49,0.065491,0.033333,30,24.79,26.755,116.54,27.744,37.185,389.71,68.331,8.112,0.019463,vapor
245.49,0.066938,0.033333,30,24.929,26.937,117.11,27.659,36.996,393.85,62.633,8.2746,0.019909,vapor
250.49,0.06838,0.033333,30,25.067,27.118,117.67,27.599,36.843,397.92,57.521,8.4392,0.020364,vapor
255.49,0.069817,0.033333,30,25.205,27.299,118.21,27.56,36.722,401.91,52.931,8.6058,0.020828,vapor
260.49,0.071249,0.033333,30,25.342,27.48,118.75,27.54,36.63,405.85,48.807,8.7743,0.021301,vapor
265.49,0.072676,0.033333,30,25.48,27.66,119.27,27.536,36.562,409.72,45.098,8.9445,0.021783,vapor
270.49,0.074101,0.033333,30,25.618,27.841,119.78,27.548,36.517,413.53,41.758,9.1164,0.022272,vapor
275.49,0.075522,0.033333,30,25.756,28.021,120.29,27.574,36.492,417.28,38.749,9.2899,0.02277,vapor
280.49,0.07694,0.033333,30,25.894,28.202,120.79,27.613,36.486,420.98,36.034,9.4648,0.023276,vapor
285.49,0.078355,0.033333,30,26.032,28.382,121.27,27.663,36.496,424.63,33.582,9.6411,0.02379,vapor
290.49,0.079768,0.033333,30,26.17,28.563,121.76,27.724,36.521,428.23,31.364,9.8188,0.024312,vapor
295.49,0.08118,0.033333,30,26.309,28.744,122.23,27.795,36.559,431.78,29.355,9.9977,0.024842,vapor
300.49,0.082589,0.033333,30,26.448,28.926,122.7,27.875,36.61,435.29,27.532,10.178,0.025378,vapor
305.49,0.083997,0.033333,30,26.588,29.108,123.16,27.963,36.672,438.75,25.875,10.359,0.025923,vapor
310.49,0.085403,0.033333,30,26.728,29.29,123.61,28.059,36.744,442.17,24.366,10.541,0.026474,vapor
315.49,0.086808,0.033333,30,26.868,29.473,124.06,28.162,36.826,445.54,22.989,10.724,0.027033,vapor
320.49,0.088212,0.033333,30,27.009,29.656,124.5,28.271,36.915,448.88,21.729,10.908,0.027599,vapor
325.49,0.089614,0.033333,30,27.151,29.84,124.94,28.386,37.012,452.18,20.576,11.093,0.028172,vapor
330.49,0.091016,0.033333,30,27.293,30.024,125.38,28.505,37.116,455.45,19.516,11.279,0.028752,vapor
335.49,0.092417,0.033333,30,27.436,30.209,125.81,28.63,37.226,458.68,18.54,11.465,0.029339,vapor
340.49,0.093817,0.033333,30,27.58,30.394,126.23,28.759,37.341,461.87,17.64,11.652,0.029932,vapor
345.49,0.095216,0.033333,30,27.724,30.58,126.65,28.891,37.462,465.04,16.807,11.84,0.030532,vapor
350.49,0.096615,0.033333,30,27.869,30.767,127.07,29.027,37.586,468.17,16.036,12.028,0.031138,vapor
355.49,0.098013,0.033333,30,28.014,30.954,127.48,29.166,37.714,471.27,15.319,12.217,0.031751,vapor
360.49,0.099411,0.033333,30,28.16,31.143,127.89,29.308,37.846,474.34,14.651,12.407,0.032371,vapor
365.49,0.10081,0.033333,30,28.307,31.331,128.29,29.451,37.981,477.39,14.029,12.596,0.032997,vapor
370.49,0.1022,0.033333,30,28.455,31.521,128.69,29.597,38.119,480.41,13.447,12.786,0.033629,vapor
375.49,0.1036,0.033333,30,28.603,31.711,129.09,29.745,38.259,483.4,12.901,12.977,0.034267,vapor
380.49,0.105,0.033333,30,28.752,31.902,129.48,29.895,38.401,486.36,12.39,13.167,0.034912,vapor
385.49,0.10639,0.033333,30,28.902,32.094,129.88,30.046,38.545,489.31,11.908,13.358,0.035562,vapor
390.49,0.10779,0.033333,30,29.053,32.286,130.26,30.198,38.69,492.22,11.455,13.55,0.036219,vapor
395.49,0.10918,0.033333,30,29.204,32.479,130.65,30.351,38.838,495.12,11.028,13.741,0.036882,vapor
400.49,0.11058,0.033333,30,29.356,32.673,131.03,30.505,38.986,497.99,10.624,13.933,0.03755,vapor
405.49,0.11197,0.033333,30,29.509,32.868,131.41,30.66,39.135,500.84,10.242,14.124,0.038225,vapor
410.49,0.11336,0.033333,30,29.663,33.064,131.79,30.815,39.286,503.67,9.8798,14.316,0.038905,vapor
415.49,0.11476,0.033333,30,29.817,33.26,132.16,30.971,39.437,506.48,9.5363,14.508,0.039592,vapor
420.49,0.11615,0.033333,30,29.972,33.457,132.53,31.128,39.589,509.27,9.2101,14.7,0.040284,vapor
425.49,0.11754,0.033333,30,30.128,33.655,132.9,31.285,39.741,512.04,8.8999,14.892,0.040981,vapor
430.49,0.11894,0.033333,30,30.285,33.853,133.27,31.442,39.895,514.79,8.6047,15.084,0.041685,vapor
435.49,0.12033,0.033333,30,30.443,34.053,133.63,31.599,40.048,517.52,8.3234,15.276,0.042394,vapor
440.49,0.12172,0.033333,30,30.601,34.253,133.99,31.757,40.202,520.23,8.0551,15.467,0.043109,vapor
445.49,0.12311,0.033333,30,30.76,34.454,134.35,31.915,40.356,522.92,7.7991,15.659,0.043829,vapor
450.49,0.12451,0.033333,30,30.92,34.656,134.71,32.073,40.511,525.6,7.5544,15.851,0.044555,vapor
455.49,0.1259,0.033333,30,31.081,34.858,135.07,32.231,40.666,528.26,7.3206,16.042,0.045286,vapor
460.49,0.12729,0.033333,30,31.243,35.061,135.42,32.389,40.821,530.9,7.0968,16.233,0.046023,vapor
465.49,0.12868,0.033333,30,31.405,35.266,135.77,32.547,40.976,533.53,6.8826,16.424,0.046765,vapor
470.49,0.13007,0.033333,30,31.568,35.47,136.12,32.705,41.131,536.14,6.6774,16.615,0.047512,vapor
475.49,0.13147,0.033333,30,31.732,35.676,136.46,32.863,41.286,538.74,6.4808,16.806,0.048265,vapor
480.49,0.13286,0.033333,30,31.897,35.883,136.81,33.021,41.441,541.32,6.2921,16.996,0.049024,vapor
485.49,0.13425,0.033333,30,32.062,36.09,137.15,33.179,41.597,543.88,6.111,17.186,0.049787,vapor
490.49,0.13564,0.033333,30,32.229,36.298,137.49,33.337,41.752,546.43,5.9372,17.376,0.050556,vapor
495.49,0.13703,0.033333,30,32.396,36.507,137.83,33.495,41.907,548.97,5.7702,17.565,0.05133,vapor
500.49,0.13842,0.033333,30,32.564,36.716,138.17,33.652,42.063,551.49,5.6097,17.754,0.05211,vapor
505.49,0.13981,0.033333,30,32.732,36.927,138.5,33.81,42.218,553.99,5.4554,17.943,0.052894,vapor
