Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
240.49,0.09736,0.05,20,24.726,26.673,112.97,28.696,38.758,387.61,67.177,8.0907,0.01957,vapor
245.49,0.099578,0.05,20,24.869,26.86,113.56,28.521,38.416,391.88,61.697,8.2546,0.020015,vapor
250.49,0.10178,0.05,20,25.011,27.047,114.14,28.378,38.127,396.06,56.761,8.4205,0.02047,vapor
255.49,0.10398,0.05,20,25.153,27.232,114.7,28.266,37.886,400.16,52.313,8.5883,0.020933,vapor
260.49,0.10616,0.05,20,25.294,27.417,115.24,28.18,37.686,404.19,48.304,8.7578,0.021406,vapor
265.49,0.10833,0.05,20,25.434,27.601,115.78,28.116,37.523,408.15,44.687,8.929,0.021886,vapor
270.49,0.1105,0.05,20,25.575,27.785,116.3,28.074,37.392,412.04,41.423,9.1018,0.022376,vapor
275.49,0.11266,0.05,20,25.715,27.968,116.82,28.052,37.29,415.87,38.475,9.2761,0.022873,vapor
280.49,0.11481,0.05,20,25.855,28.152,117.32,28.046,37.214,419.64,35.809,9.4518,0.023379,vapor
285.49,0.11696,0.05,20,25.996,28.335,117.82,28.057,37.162,423.35,33.397,9.6289,0.023892,vapor
290.49,0.1191,0.05,20,26.136,28.518,118.3,28.082,37.131,427.02,31.211,9.8072,0.024413,vapor
295.49,0.12123,0.05,20,26.277,28.701,118.78,28.12,37.119,430.62,29.228,9.9868,0.024942,vapor
300.49,0.12336,0.05,20,26.417,28.885,119.26,28.171,37.125,434.18,27.427,10.167,0.025479,vapor
305.49,0.12549,0.05,20,26.558,29.068,119.72,28.233,37.146,437.69,25.787,10.349,0.026023,vapor
310.49,0.12762,0.05,20,26.7,29.252,120.18,28.305,37.182,441.16,24.292,10.532,0.026574,vapor
315.49,0.12974,0.05,20,26.841,29.436,120.63,28.387,37.231,444.58,22.926,10.716,0.027132,vapor
