Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
239.57,0.1,0.051618,19.373,24.693,26.63,112.58,28.827,38.986,386.62,68.134,8.0588,0.0195,vapor
240.49,0.1,0.051395,19.457,24.72,26.666,112.73,28.776,38.892,387.44,67.084,8.089,0.019579,vapor
245.49,0.1,0.050217,19.913,24.868,26.859,113.53,28.532,38.435,391.85,61.685,8.2544,0.020017,vapor
250.49,0.1,0.049103,20.365,25.014,27.05,114.3,28.336,38.057,396.16,56.801,8.4215,0.020464,vapor
255.49,0.1,0.048047,20.813,25.159,27.24,115.05,28.183,37.748,400.37,52.384,8.5903,0.020921,vapor
260.49,0.1,0.047042,21.257,25.302,27.428,115.77,28.066,37.497,404.48,48.392,8.7607,0.021387,vapor
265.49,0.1,0.046085,21.699,25.445,27.615,116.49,27.98,37.295,408.52,44.782,8.9326,0.021862,vapor
270.49,0.1,0.045172,22.138,25.587,27.801,117.18,27.921,37.136,412.47,41.519,9.106,0.022346,vapor
275.49,0.1,0.044298,22.574,25.729,27.986,117.86,27.888,37.015,416.35,38.568,9.2808,0.022838,vapor
280.49,0.1,0.043461,23.009,25.87,28.171,118.52,27.876,36.926,420.17,35.897,9.4569,0.023339,vapor
285.49,0.1,0.042658,23.442,26.012,28.356,119.18,27.883,36.867,423.92,33.478,9.6343,0.023847,vapor
290.49,0.1,0.041887,23.873,26.153,28.54,119.82,27.907,36.832,427.61,31.285,9.8128,0.024364,vapor
295.49,0.1,0.041146,24.304,26.294,28.724,120.44,27.947,36.82,431.24,29.295,9.9926,0.024889,vapor
300.49,0.1,0.040433,24.733,26.435,28.908,121.06,28.001,36.828,434.82,27.487,10.173,0.025421,vapor
305.49,0.1,0.039745,25.16,26.576,29.092,121.67,28.067,36.854,438.34,25.841,10.355,0.025961,vapor
310.49,0.1,0.039082,25.587,26.718,29.277,122.27,28.144,36.895,441.82,24.34,10.538,0.026509,vapor
315.49,0.1,0.038442,26.013,26.86,29.461,122.86,28.231,36.949,445.25,22.969,10.722,0.027064,vapor
320.49,0.1,0.037823,26.439,27.002,29.646,123.44,28.326,37.016,448.63,21.715,10.906,0.027626,vapor
325.49,0.1,0.037225,26.863,27.145,29.832,124.01,28.43,37.093,451.98,20.565,11.091,0.028195,vapor
330.49,0.1,0.036647,27.288,27.289,30.017,124.58,28.54,37.181,455.28,19.508,11.278,0.028771,vapor
335.49,0.1,0.036087,27.711,27.432,30.203,125.14,28.656,37.276,458.54,18.534,11.464,0.029355,vapor
