Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
590.49,0.01,0.002037,490.92,35.738,40.647,167.22,36.432,44.751,595.02,3.5439,21.083,0.066855,vapor
595.49,0.01,0.0020199,495.08,35.92,40.871,167.6,36.588,44.907,597.3,3.4624,21.263,0.067728,vapor
600.49,0.01,0.0020031,499.24,36.104,41.096,167.97,36.744,45.062,599.57,3.3835,21.443,0.068607,vapor
605.49,0.01,0.0019865,503.4,36.288,41.322,168.35,36.9,45.218,601.82,3.3071,21.623,0.06949,vapor
610.49,0.01,0.0019702,507.55,36.473,41.548,168.72,37.055,45.373,604.07,3.2331,21.802,0.070378,vapor
615.49,0.01,0.0019542,511.71,36.658,41.775,169.09,37.21,45.528,606.31,3.1614,21.98,0.07127,vapor
620.49,0.01,0.0019385,515.87,36.845,42.003,169.46,37.365,45.683,608.54,3.0919,22.158,0.072167,vapor
625.49,0.01,0.001923,520.03,37.032,42.232,169.83,37.52,45.838,610.76,3.0245,22.336,0.073068,vapor
630.49,0.01,0.0019077,524.19,37.22,42.462,170.19,37.674,45.992,612.96,2.9591,22.512,0.073974,vapor
635.49,0.01,0.0018927,528.34,37.409,42.692,170.56,37.829,46.146,615.16,2.8957,22.689,0.074884,vapor
640.49,0.01,0.0018779,532.5,37.598,42.923,170.92,37.983,46.3,617.35,2.8342,22.864,0.075799,vapor
645.49,0.01,0.0018634,536.66,37.789,43.155,171.28,38.137,46.454,619.53,2.7745,23.039,0.076718,vapor
650.49,0.01,0.001849,540.82,37.98,43.388,171.64,38.29,46.608,621.71,2.7165,23.214,0.077642,vapor
655.49,0.01,0.0018349,544.98,38.171,43.621,172,38.444,46.761,623.87,2.6602,23.388,0.07857,vapor
660.49,0.01,0.001821,549.13,38.364,43.855,172.35,38.597,46.914,626.02,2.6055,23.561,0.079502,vapor
665.49,0.01,0.0018074,553.29,38.557,44.09,172.71,38.75,47.067,628.17,2.5524,23.734,0.080439,vapor
670.49,0.01,0.0017939,557.45,38.752,44.326,173.06,38.903,47.22,630.31,2.5007,23.906,0.081379,vapor
675.49,0.01,0.0017806,561.61,38.946,44.563,173.41,39.055,47.372,632.44,2.4505,24.078,0.082325,vapor
680.49,0.01,0.0017675,565.77,39.142,44.8,173.76,39.207,47.524,634.56,2.4017,24.249,0.083274,vapor
685.49,0.01,0.0017546,569.92,39.339,45.038,174.11,39.359,47.676,636.67,2.3542,24.419,0.084227,vapor
690.49,0.01,0.0017419,574.08,39.536,45.277,174.46,39.511,47.828,638.77,2.308,24.589,0.085185,vapor
695.49,0.01,0.0017294,578.24,39.734,45.516,174.8,39.663,47.98,640.87,2.263,24.759,0.086147,vapor
700.49,0.01,0.001717,582.4,39.932,45.756,175.15,39.814,48.131,642.96,2.2192,24.927,0.087113,vapor
705.49,0.01,0.0017049,586.56,40.132,45.997,175.49,39.965,48.282,645.04,2.1766,25.095,0.088083,vapor
710.49,0.01,0.0016929,590.71,40.332,46.239,175.83,40.115,48.432,647.11,2.1351,25.263,0.089056,vapor
715.49,0.01,0.001681,594.87,40.533,46.482,176.17,40.266,48.583,649.18,2.0947,25.43,0.090034,vapor
720.49,0.01,0.0016694,599.03,40.735,46.725,176.51,40.416,48.733,651.23,2.0553,25.596,0.091016,vapor
