C_X,C_N,C_L,F_in,C_N_in,I0,Time,C_X_actual,C_N_actual,C_L_actual
1.9,1.8,0.0,0.015,14.0,134.0,0.0,1.92504453,1.948036682,7.75e-05
1.9214848279953003,1.9431039094924927,5.920409603277221e-05,0.015,14.0,134.0,0.7537688442211056,1.949642992,2.096175461,0.00015373
1.9426707029342651,2.0858187675476074,0.00011777217878261581,0.015,14.0,134.0,1.5075376884422111,1.97379025,2.244418519,0.000228639
1.9635628461837769,2.2281575202941895,0.00017571766511537135,0.015,14.0,134.0,2.261306532663317,1.997481581,2.392767929,0.000302258
1.9841665029525757,2.3701372146606445,0.00023305221111513674,0.015,14.0,134.0,3.0150753768844223,2.020719732,2.54122348,0.000374605
2.0044872760772705,2.511773109436035,0.000289788848021999,0.015,14.0,134.0,3.7688442211055277,2.043508324,2.689784684,0.000445701
2.0245299339294434,2.6530818939208984,0.0003459396830294281,0.015,14.0,134.0,4.522613065326634,2.065851277,2.838450957,0.000515564
2.044299602508545,2.7940778732299805,0.0004015163576696068,0.015,14.0,134.0,5.276381909547739,2.087752816,2.987221613,0.000584215
2.0638012886047363,2.9347758293151855,0.00045653004781343043,0.015,14.0,134.0,6.030150753768845,2.109217462,3.136095869,0.000651674
2.0830395221710205,3.075190305709839,0.0005109919584356248,0.015,14.0,134.0,6.78391959798995,2.13025004,3.285072842,0.00071796
2.1020193099975586,3.2153372764587402,0.0005649127415381372,0.015,14.0,134.0,7.5376884422110555,2.150855673,3.434151551,0.000783094
2.1207456588745117,3.355229377746582,0.0006183054647408426,0.015,14.0,134.0,8.291457286432161,2.171039787,3.583330915,0.000847096
2.1392226219177246,3.494882106781006,0.0006711799069307745,0.015,14.0,134.0,9.045226130653267,2.190808107,3.732609754,0.000909987
2.1574552059173584,3.6343085765838623,0.0007235465454868972,0.015,14.0,134.0,9.798994974874372,2.21016666,3.881986789,0.000971786
2.175447702407837,3.773524045944214,0.0007754158577881753,0.015,14.0,134.0,10.552763819095478,2.229121774,4.031460643,0.001032515
2.193204879760742,3.912539482116699,0.0008267987868748605,0.015,14.0,134.0,11.306532663316583,2.247680076,4.181029838,0.001092195
2.21073055267334,4.051369667053223,0.0008777048788033426,0.015,14.0,134.0,12.06030150753769,2.265848494,4.330692799,0.001150845
2.228029251098633,4.190028190612793,0.000928143912460655,0.015,14.0,134.0,12.814070351758795,2.283634258,4.480447851,0.001208487
2.245105028152466,4.328526973724365,0.0009781267726793885,0.015,14.0,134.0,13.5678391959799,2.301044898,4.63029322,0.001265142
2.2619619369506836,4.466880798339844,0.001027661724947393,0.015,14.0,134.0,14.321608040201006,2.318088245,4.780227033,0.001320831
2.27860426902771,4.605100154876709,0.001076758955605328,0.015,14.0,134.0,15.075376884422111,2.33477243,4.930247318,0.001375575
2.2936720848083496,4.744997978210449,0.0011289651738479733,0.015,14.0,134.0,15.829145728643217,2.351105884,5.080352003,0.001429396
2.3079774379730225,4.885284423828125,0.0011820943327620625,0.015,14.0,134.0,16.582914572864322,2.367097342,5.23053892,0.001482315
2.3219292163848877,5.025140285491943,0.0012349177850410342,0.015,14.0,134.0,17.33668341708543,2.382755841,5.380805797,0.001534354
2.33565616607666,5.1643967628479,0.0012871165527030826,0.015,14.0,134.0,18.090452261306535,2.398096565,5.531148774,0.00158555
2.349193811416626,5.3030104637146,0.0013386070495471358,0.015,14.0,134.0,18.84422110552764,2.41313099,5.681564997,0.001635933
2.3625524044036865,5.4409685134887695,0.0013893692521378398,0.015,14.0,134.0,19.597989949748744,2.427863825,5.832053366,0.001685515
2.375735282897949,5.578267574310303,0.0014394003665074706,0.015,14.0,134.0,20.35175879396985,2.442299771,5.982612784,0.001734309
2.3887438774108887,5.714908123016357,0.0014887013239786029,0.015,14.0,134.0,21.105527638190956,2.456443525,6.13324215,0.001782326
2.401578903198242,5.850889205932617,0.001537275849841535,0.015,14.0,134.0,21.859296482412063,2.470299774,6.283940363,0.001829579
2.414241313934326,5.986211776733398,0.0015851269708946347,0.015,14.0,134.0,22.613065326633166,2.4838732,6.43470632,0.001876079
2.426731824874878,6.120876312255859,0.0016322581795975566,0.015,14.0,134.0,23.366834170854272,2.497168478,6.585538919,0.001921839
2.439051389694214,6.254882335662842,0.0016786727355793118,0.015,14.0,134.0,24.12060301507538,2.510190275,6.736437057,0.001966871
2.4512007236480713,6.388230800628662,0.0017243734328076243,0.015,14.0,134.0,24.874371859296485,2.522943252,6.887399627,0.002011186
2.4631805419921875,6.52092170715332,0.0017693644622340798,0.015,14.0,134.0,25.62814070351759,2.535432064,7.038425525,0.002054796
2.4749915599823,6.652956485748291,0.0018136490834876895,0.015,14.0,134.0,26.381909547738694,2.547661357,7.189513644,0.002097712
2.4866347312927246,6.784335136413574,0.0018572303233668208,0.015,14.0,134.0,27.1356783919598,2.559635771,7.340662877,0.002139948
2.498110771179199,6.915057182312012,0.0019001119071617723,0.015,14.0,134.0,27.889447236180906,2.571359939,7.491872114,0.002181513
2.509420394897461,7.045124053955078,0.0019422973273321986,0.015,14.0,134.0,28.643216080402013,2.582838488,7.643140247,0.002222421
2.520564079284668,7.174535274505615,0.0019837897270917892,0.015,14.0,134.0,29.396984924623116,2.594076037,7.794466165,0.002262682
2.531543016433716,7.303292274475098,0.0020245923660695553,0.015,14.0,134.0,30.150753768844222,2.605077199,7.945848758,0.002302307
2.542358160018921,7.431395530700684,0.0020647088531404734,0.015,14.0,134.0,30.90452261306533,2.615846579,8.097286912,0.002341309
