,C_X,C_N,C_L,F_in,C_N_in,I0,Time
19200,2.0,1.6,0.0,0.003,9,105,0.0
19201,2.0194647312164307,1.4586833715438843,7.190850737970322e-05,0.003,9,105,0.753768844
19202,2.036749839782715,1.4767042398452759,0.000129144245875068,0.003,9,105,1.507537688
19203,2.0537400245666504,1.4916919469833374,0.00018562540935818106,0.003,9,105,2.261306533
19204,2.0704290866851807,1.5052013397216797,0.00024136928550433367,0.003,9,105,3.015075377
19205,2.0868091583251953,1.5187714099884033,0.0002963423612527549,0.003,9,105,3.768844221
19206,2.1028871536254883,1.532401204109192,0.0003505572385620326,0.003,9,105,4.522613065
19207,2.118666172027588,1.5460903644561768,0.0004040269705001265,0.003,9,105,5.27638191
19208,2.134153127670288,1.5598366260528564,0.0004567629948724061,0.003,9,105,6.030150754
19209,2.1493518352508545,1.5736405849456787,0.0005087756435386837,0.003,9,105,6.783919598
19210,2.1642675399780273,1.5874998569488525,0.0005600792937912047,0.003,9,105,7.537688442
19211,2.178905487060547,1.6014143228530884,0.000610681832768023,0.003,9,105,8.291457286
19212,2.193270683288574,1.6153814792633057,0.0006605990347452462,0.003,9,105,9.045226131
19213,2.207367420196533,1.6294023990631104,0.0007098389323800802,0.003,9,105,9.798994975
19214,2.221200942993164,1.643473505973816,0.0007584145059809089,0.003,9,105,10.55276382
19215,2.2338967323303223,1.660132884979248,0.0008043893030844629,0.003,9,105,11.30653266
19216,2.245819091796875,1.6783359050750732,0.0008485736325383186,0.003,9,105,12.06030151
19217,2.257516860961914,1.696520447731018,0.0008921792614273727,0.003,9,105,12.81407035
19218,2.268993377685547,1.7146843671798706,0.0009352142224088311,0.003,9,105,13.5678392
19219,2.2802538871765137,1.7328286170959473,0.000977689167484641,0.003,9,105,14.32160804
19220,2.2913012504577637,1.7509523630142212,0.0010196148650720716,0.003,9,105,15.07537688
19221,2.302140712738037,1.769058108329773,0.001060998416505754,0.003,9,105,15.82914573
19222,2.3127756118774414,1.7871441841125488,0.0011018500663340092,0.003,9,105,16.58291457
19223,2.3232104778289795,1.8052096366882324,0.0011421793606132269,0.003,9,105,17.33668342
19224,2.333449602127075,1.8232566118240356,0.0011819945648312569,0.003,9,105,18.09045226
19225,2.343496322631836,1.841286540031433,0.0012213049922138453,0.003,9,105,18.84422111
