,C_X,C_N,C_L,F_in,C_N_in,I0,Time
19279,2.718485668,2.72471119,0.002913354,0.003,9,105,59.54773869
19280,2.722626318,2.740077493,0.002935844,0.003,9,105,60.30150754
19281,2.7267057,2.75545715,0.002958121,0.003,9,105,61.05527638
19282,2.730725761,2.770849689,0.00298019,0.003,9,105,61.80904523
19283,2.734688303,2.786254672,0.003002055,0.003,9,105,62.56281407
19284,2.738590726,2.801672887,0.003023714,0.003,9,105,63.31658291
19285,2.74243186,2.817104706,0.003045163,0.003,9,105,64.07035176
19286,2.746212456,2.832549961,0.003066405,0.003,9,105,64.8241206
19287,2.749933261,2.848008487,0.003087442,0.003,9,105,65.57788945
19288,2.753595021,2.863480119,0.003108277,0.003,9,105,66.33165829
19289,2.757198479,2.87896469,0.00312891,0.003,9,105,67.08542714
19290,2.760744378,2.894462035,0.003149345,0.003,9,105,67.83919598
19291,2.764233454,2.909971992,0.003169582,0.003,9,105,68.59296482
19292,2.767666446,2.925494394,0.003189625,0.003,9,105,69.34673367
19293,2.771044086,2.94102908,0.003209476,0.003,9,105,70.10050251
19294,2.774367107,2.956575884,0.003229135,0.003,9,105,70.85427136
19295,2.777636239,2.972134646,0.003248606,0.003,9,105,71.6080402
19296,2.780852207,2.987705202,0.003267889,0.003,9,105,72.36180905
19297,2.784015737,3.003287391,0.003286988,0.003,9,105,73.11557789
19298,2.787127551,3.01888105,0.003305904,0.003,9,105,73.86934673
19299,2.79018837,3.03448602,0.003324639,0.003,9,105,74.62311558
19300,2.79319891,3.050102139,0.003343195,0.003,9,105,75.37688442
19301,2.796159888,3.065729247,0.003361574,0.003,9,105,76.13065327
19302,2.799072017,3.081367184,0.003379778,0.003,9,105,76.88442211
19303,2.801936006,3.097015792,0.00339781,0.003,9,105,77.63819095
19304,2.804752565,3.11267491,0.003415669,0.003,9,105,78.3919598
19305,2.8075224,3.128344382,0.00343336,0.003,9,105,79.14572864
19306,2.810246214,3.144024048,0.003450884,0.003,9,105,79.89949749
19307,2.812924708,3.15971375,0.003468242,0.003,9,105,80.65326633
19308,2.815558582,3.175413333,0.003485437,0.003,9,105,81.40703518
19309,2.818148533,3.191122638,0.00350247,0.003,9,105,82.16080402
19310,2.820695254,3.20684151,0.003519344,0.003,9,105,82.91457286
19311,2.823199438,3.222569792,0.00353606,0.003,9,105,83.66834171
19312,2.825661774,3.238307329,0.00355262,0.003,9,105,84.42211055
19313,2.82808295,3.254053967,0.003569026,0.003,9,105,85.1758794
19314,2.830463651,3.269809549,0.003585281,0.003,9,105,85.92964824
19315,2.832804559,3.285573923,0.003601385,0.003,9,105,86.68341709
19316,2.835106355,3.301346934,0.003617341,0.003,9,105,87.43718593
19317,2.837369716,3.317128429,0.003633151,0.003,9,105,88.19095477
19318,2.839595319,3.332918255,0.003648816,0.003,9,105,88.94472362
19319,2.841783837,3.34871626,0.003664338,0.003,9,105,89.69849246
19320,2.843935941,3.36452229,0.00367972,0.003,9,105,90.45226131
19321,2.846052298,3.380336196,0.003694963,0.003,9,105,91.20603015
19322,2.848133577,3.396157825,0.003710069,0.003,9,105,91.95979899
19323,2.85018044,3.411987026,0.00372504,0.003,9,105,92.71356784
19324,2.85219355,3.42782365,0.003739877,0.003,9,105,93.46733668
19325,2.854173565,3.443667545,0.003754582,0.003,9,105,94.22110553
19326,2.856121143,3.459518564,0.003769158,0.003,9,105,94.97487437
19327,2.858036938,3.475376556,0.003783606,0.003,9,105,95.72864322
19328,2.859921603,3.491241373,0.003797928,0.003,9,105,96.48241206
19329,2.861775787,3.507112866,0.003812126,0.003,9,105,97.2361809
19330,2.863600139,3.522990888,0.003826201,0.003,9,105,97.98994975
19331,2.865395302,3.538875292,0.003840155,0.003,9,105,98.74371859
19332,2.867161922,3.55476593,0.003853991,0.003,9,105,99.49748744
19333,2.868900637,3.570662656,0.003867709,0.003,9,105,100.2512563
19334,2.870612086,3.586565323,0.003881312,0.003,9,105,101.0050251
19335,2.872296906,3.602473787,0.003894801,0.003,9,105,101.758794
19336,2.873955729,3.618387901,0.003908179,0.003,9,105,102.5125628
19337,2.875589188,3.634307521,0.003921446,0.003,9,105,103.2663317
19338,2.877197911,3.650232503,0.003934605,0.003,9,105,104.0201005
19339,2.878782524,3.666162702,0.003947658,0.003,9,105,104.7738693
19340,2.880343652,3.682097974,0.003960606,0.003,9,105,105.5276382
19341,2.881881917,3.698038178,0.003973451,0.003,9,105,106.281407
19342,2.883397939,3.71398317,0.003986194,0.003,9,105,107.0351759
19343,2.884892334,3.729932807,0.003998838,0.003,9,105,107.7889447
19344,2.886365718,3.745886948,0.004011384,0.003,9,105,108.5427136
19345,2.887818702,3.761845451,0.004023834,0.003,9,105,109.2964824
19346,2.889251899,3.777808176,0.004036189,0.003,9,105,110.0502513
19347,2.890665914,3.793774982,0.004048452,0.003,9,105,110.8040201
19348,2.892061355,3.809745728,0.004060624,0.003,9,105,111.5577889
19349,2.893438791,3.825720283,0.004072706,0.003,9,105,112.3115578
19350,2.894796527,3.841699077,0.004084695,0.003,9,105,113.0653266
19351,2.89613354,3.857682372,0.00409659,0.003,9,105,113.8190955
19352,2.897450121,3.873670103,0.00410839,0.003,9,105,114.5728643
19353,2.898746558,3.889662207,0.004120097,0.003,9,105,115.3266332
19354,2.900023138,3.905658622,0.004131711,0.003,9,105,116.080402
19355,2.901280145,3.921659284,0.004143235,0.003,9,105,116.8341709
19356,2.902517859,3.937664132,0.004154668,0.003,9,105,117.5879397
19357,2.903736558,3.953673105,0.004166011,0.003,9,105,118.3417085
19358,2.904936521,3.969686141,0.004177266,0.003,9,105,119.0954774
19359,2.906118019,3.985703182,0.004188433,0.003,9,105,119.8492462
19360,2.907281325,4.001724166,0.004199513,0.003,9,105,120.6030151
19361,2.908426708,4.017749036,0.004210507,0.003,9,105,121.3567839
19362,2.909554433,4.033777732,0.004221416,0.003,9,105,122.1105528
19363,2.910664766,4.049810196,0.004232241,0.003,9,105,122.8643216
19364,2.911757967,4.065846371,0.004242982,0.003,9,105,123.6180905
19365,2.912834295,4.0818862,0.004253641,0.003,9,105,124.3718593
19366,2.913894007,4.097929627,0.004264218,0.003,9,105,125.1256281
19367,2.914937358,4.113976596,0.004274714,0.003,9,105,125.879397
19368,2.915964599,4.130027051,0.004285131,0.003,9,105,126.6331658
19369,2.91697598,4.146080938,0.004295468,0.003,9,105,127.3869347
19370,2.917971746,4.162138202,0.004305726,0.003,9,105,128.1407035
19371,2.918952143,4.17819879,0.004315907,0.003,9,105,128.8944724
19372,2.919917413,4.194262649,0.004326012,0.003,9,105,129.6482412
19373,2.920867794,4.210329727,0.00433604,0.003,9,105,130.4020101
19374,2.921803524,4.22639997,0.004345993,0.003,9,105,131.1557789
19375,2.922724838,4.242473329,0.004355872,0.003,9,105,131.9095477
19376,2.923631967,4.258549751,0.004365678,0.003,9,105,132.6633166
19377,2.924525141,4.274629187,0.00437541,0.003,9,105,133.4170854
19378,2.925404588,4.290711586,0.00438507,0.003,9,105,134.1708543
19379,2.926270531,4.3067969,0.004394659,0.003,9,105,134.9246231
19380,2.927123194,4.322885079,0.004404178,0.003,9,105,135.678392
19381,2.927962796,4.338976076,0.004413627,0.003,9,105,136.4321608
19382,2.928789555,4.355069843,0.004423006,0.003,9,105,137.1859296
19383,2.929603684,4.371166332,0.004432317,0.003,9,105,137.9396985
19384,2.930405398,4.387265498,0.004441561,0.003,9,105,138.6934673
19385,2.931194906,4.403367293,0.004450738,0.003,9,105,139.4472362
19386,2.931972415,4.419471674,0.004459849,0.003,9,105,140.201005
19387,2.93273813,4.435578594,0.004468894,0.003,9,105,140.9547739
19388,2.933492254,4.451688009,0.004477874,0.003,9,105,141.7085427
19389,2.934234988,4.467799876,0.00448679,0.003,9,105,142.4623116
19390,2.934966529,4.483914152,0.004495643,0.003,9,105,143.2160804
19391,2.935687072,4.500030793,0.004504433,0.003,9,105,143.9698492
19392,2.93639681,4.516149757,0.004513162,0.003,9,105,144.7236181
19393,2.937095934,4.532271003,0.004521828,0.003,9,105,145.4773869
19394,2.937784631,4.548394489,0.004530434,0.003,9,105,146.2311558
19395,2.938463086,4.564520176,0.00453898,0.003,9,105,146.9849246
19396,2.939131484,4.580648023,0.004547467,0.003,9,105,147.7386935
19397,2.939790004,4.59677799,0.004555895,0.003,9,105,148.4924623
19398,2.940438824,4.612910039,0.004564265,0.003,9,105,149.2462312
19399,2.941078121,4.629044132,0.004572577,0.003,9,105,150.0
