Location,January,February,March,April,May,June,July,August,September,October,November,December
"Bethlehem, PA",0.0555,0.0555,3.888,10,15.555,20.555,23.055,21.944,17.777,11.388,6.111,0.277
"Miami, FL",20,21.111,22.5,24.166,26.666,28.055,28.888,28.888,28.055,26.666,23.888,21.388
"Puerto Jiménez, Costa Rica",26.2,26.5,27.7,28,27.3,26.5,26.7,26.3,26,25.9,25.6,25.7
"Quito, Ecuador",15.5,15.55,15.45,15.55,15.55,15.5,15.45,15.9,15.85,15.65,15.45,15.5
"Nairobi, Kenya",19.7,20.2,20.7,20.2,19.1,17.8,16.7,17.2,18.6,18.8,19.3,19.2
"Lusaka, Zambia",22.5,22.4,21.95,20.55,18.25,15.8,15.6,17.85,21.6,23.95,23.9,22.75
